id,name,is_trans,num_parts,num_sets,y1,y2,lifetime_years,avg_parts_per_set
1004,Trans-Flame Yellowish Orange,True,214,82,2003.0,2006.0,3.0,2.6097560975609757
77,Light Pink,False,184,81,1991.0,1994.0,3.0,2.271604938271605
230,Trans-Pink,True,434,181,2003.0,2006.0,3.0,2.3977900552486187
12,Salmon,False,185,115,1997.0,2000.0,3.0,1.608695652173913
1002,Glitter Trans-Neon Green,True,9,8,2015.0,2018.0,3.0,1.125
1125,HO Metallic Blue,False,3,3,1958.0,1961.0,3.0,1.0
1139,Opal Trans-Yellow,True,23,12,2024.0,2026.0,2.0,1.9166666666666667
68,Very Light Orange,False,16,16,2000.0,2002.0,2.0,1.0
373,Sand Purple,False,73,21,2001.0,2003.0,2.0,3.4761904761904763
1138,Umber Brown,False,16,16,2024.0,2026.0,2.0,1.0
1141,Neon Green,False,25,15,1997.0,1999.0,2.0,1.6666666666666667
1137,Sienna Brown,False,62,61,2024.0,2026.0,2.0,1.0163934426229508
1086,Pearl Lime,False,41,39,2002.0,2004.0,2.0,1.0512820512820513
23,Dark Blue-Violet,False,9,9,2004.0,2006.0,2.0,1.0
1140,Neon Orange,False,14,5,1997.0,1999.0,2.0,2.8
1136,Reddish Orange,False,3278,769,2024.0,2026.0,2.0,4.2626788036410925
1126,HO Metallic Dark Gray,False,2,2,1958.0,1959.0,1.0,1.0
133,Speckle Black-Gold,False,5,5,2010.0,2011.0,1.0,1.0
1120,HO Light Gold,False,2,2,1957.0,1958.0,1.0,1.0
1131,HO Sand Blue,False,2,2,1957.0,1958.0,1.0,1.0
1124,HO Medium Red,False,4,4,1957.0,1958.0,1.0,1.0
1068,Bright Reddish Orange,False,16,13,2003.0,2004.0,1.0,1.2307692307692308
1074,Duplo Blue,False,6,6,2003.0,2004.0,1.0,1.0
1066,Curry,False,10,6,2004.0,2005.0,1.0,1.6666666666666667
1058,Trans-Light Green,True,42,16,2005.0,2006.0,1.0,2.625
1142,Dark Olive Green,False,11,2,2000.0,2001.0,1.0,5.5
1145,Ochre Yellow,False,11,11,2025.0,2026.0,1.0,1.0
1087,Duplo Pink,False,47,21,1992.0,1993.0,1.0,2.238095238095238
1100,Clikits Yellow,False,22,6,2003.0,2004.0,1.0,3.6666666666666665
1116,HO Earth Orange,False,2,2,1957.0,1958.0,1.0,1.0
1081,Rust Orange,False,3,3,2004.0,2005.0,1.0,1.0
89,Royal Blue,False,191,68,2004.0,2005.0,1.0,2.8088235294117645
1119,HO Light Brown,False,1,1,1957.0,1957.0,0.0,1.0
1016,Modulex Charcoal Gray,False,2,2,1963.0,1963.0,0.0,1.0
1017,Modulex Tile Gray,False,219,218,1963.0,1963.0,0.0,1.0045871559633028
1018,Modulex Black,False,2499,310,1963.0,1963.0,0.0,8.061290322580644
1019,Modulex Tile Brown,False,158,157,1963.0,1963.0,0.0,1.0063694267515924
81,Metallic Green,False,23,13,2001.0,2001.0,0.0,1.7692307692307692
75,Speckle Black-Copper,False,10,7,2006.0,2006.0,0.0,1.4285714285714286
76,Speckle DBGray-Silver,False,12,9,2006.0,2006.0,0.0,1.3333333333333333
1118,HO Light Aqua,False,1,1,1958.0,1958.0,0.0,1.0
1128,HO Metallic Sand Blue,False,1,1,1958.0,1958.0,0.0,1.0
1130,HO Rose,False,1,1,1958.0,1958.0,0.0,1.0
1127,HO Metallic Green,False,1,1,1958.0,1958.0,0.0,1.0
1122,HO Light Yellow,False,1,1,1958.0,1958.0,0.0,1.0
1123,HO Medium Blue,False,2,2,1958.0,1958.0,0.0,1.0
1117,HO Gold,False,1,1,1958.0,1958.0,0.0,1.0
1008,Vintage Blue,False,24,4,1949.0,1949.0,0.0,6.0
1009,Vintage Green,False,32,8,1949.0,1949.0,0.0,4.0
1052,Glitter Trans-Orange,True,1,1,2020.0,2020.0,0.0,1.0
1041,Modulex Foil Light Gray,False,1,1,1963.0,1963.0,0.0,1.0
1042,Modulex Foil Dark Green,False,1,1,1963.0,1963.0,0.0,1.0
1047,Modulex Foil Red,False,1,1,1963.0,1963.0,0.0,1.0
1043,Modulex Foil Light Green,False,1,1,1963.0,1963.0,0.0,1.0
1046,Modulex Foil Violet,False,1,1,1963.0,1963.0,0.0,1.0
1045,Modulex Foil Light Blue,False,1,1,1963.0,1963.0,0.0,1.0
1044,Modulex Foil Dark Blue,False,1,1,1963.0,1963.0,0.0,1.0
1040,Modulex Foil Dark Gray,False,1,1,1963.0,1963.0,0.0,1.0
1037,Modulex Violet,False,7,7,1963.0,1963.0,0.0,1.0
1038,Modulex Pink,False,20,20,1963.0,1963.0,0.0,1.0
1039,Modulex Clear,False,1394,71,1963.0,1963.0,0.0,19.633802816901408
1036,Modulex Pastel Blue,False,19,19,1963.0,1963.0,0.0,1.0
62,Chrome Green,False,2,2,1999.0,1999.0,0.0,1.0
1014,Modulex Light Bluish Gray,False,10,10,1963.0,1963.0,0.0,1.0
1013,Modulex White,False,2998,758,1963.0,1963.0,0.0,3.955145118733509
1032,Modulex Aqua Green,False,16,16,1963.0,1963.0,0.0,1.0
1033,Modulex Teal Blue,False,1104,15,1963.0,1963.0,0.0,73.6
1031,Modulex Olive Green,False,1111,21,1963.0,1963.0,0.0,52.904761904761905
1030,Modulex Pastel Green,False,35,34,1963.0,1963.0,0.0,1.0294117647058822
1027,Modulex Light Yellow,False,8,8,1963.0,1963.0,0.0,1.0
1026,Modulex Light Orange,False,7,7,1963.0,1963.0,0.0,1.0
1029,Modulex Lemon,False,23,23,1963.0,1963.0,0.0,1.0
1028,Modulex Ochre Yellow,False,1107,18,1963.0,1963.0,0.0,61.5
1024,Modulex Pink Red,False,7,7,1963.0,1963.0,0.0,1.0
1025,Modulex Orange,False,26,25,1963.0,1963.0,0.0,1.04
1023,Modulex Red,False,26,26,1963.0,1963.0,0.0,1.0
1022,Modulex Buff,False,1626,42,1963.0,1963.0,0.0,38.714285714285715
1020,Modulex Terracotta,False,1622,38,1963.0,1963.0,0.0,42.68421052631579
1021,Modulex Brown,False,2223,36,1963.0,1963.0,0.0,61.75
1049,Modulex Foil Orange,False,1,1,1963.0,1963.0,0.0,1.0
1048,Modulex Foil Yellow,False,1,1,1963.0,1963.0,0.0,1.0
1015,Modulex Light Gray,False,2249,62,1963.0,1963.0,0.0,36.274193548387096
1011,Vintage Yellow,False,24,4,1949.0,1949.0,0.0,6.0
