theme,color,total_quantity
12V,Black,3628
12V,Blue,582
12V,Brown,6
12V,Dark Gray,449
12V,Green,1
12V,Light Gray,2080
12V,Metal,5
12V,Milky White,4
12V,Red,1734
12V,Trans-Clear,348
12V,Trans-Red,58
12V,Trans-Yellow,30
12V,White,523
12V,Yellow,791
12V,[No Color/Any Color],28
4 Juniors,Black,235
4 Juniors,Blue,28
4 Juniors,Chrome Gold,12
4 Juniors,Chrome Silver,8
4 Juniors,Dark Bluish Gray,45
4 Juniors,Dark Gray,20
4 Juniors,Green,54
4 Juniors,Light Bluish Gray,57
4 Juniors,Light Gray,37
4 Juniors,Medium Green,2
4 Juniors,Orange,4
4 Juniors,Red,121
4 Juniors,Reddish Brown,56
4 Juniors,Tan,1
4 Juniors,Trans-Brown,10
4 Juniors,Trans-Dark Blue,12
4 Juniors,Trans-Green,2
4 Juniors,Trans-Light Blue,4
4 Juniors,Trans-Medium Blue,14
4 Juniors,Trans-Neon Green,15
4 Juniors,Trans-Neon Orange,10
4 Juniors,Trans-Red,3
4 Juniors,Trans-Yellow,8
4 Juniors,White,136
4 Juniors,Yellow,136
4 Juniors,[No Color/Any Color],1
4.5V,Black,3590
4.5V,Blue,1844
4.5V,Brown,7
4.5V,Dark Gray,264
4.5V,Green,10
4.5V,Light Gray,1357
4.5V,Milky White,4
4.5V,Red,2851
4.5V,Royal Blue,1
4.5V,Trans-Clear,431
4.5V,Trans-Red,17
4.5V,Trans-Yellow,14
4.5V,White,893
4.5V,Yellow,1005
4.5V,[No Color/Any Color],30
9V,Black,7251
9V,Blue,983
9V,Brown,292
9V,Chrome Gold,16
9V,Chrome Silver,33
9V,Dark Bluish Gray,63
9V,Dark Gray,923
9V,Dark Green,95
9V,Green,357
9V,Light Bluish Gray,99
9V,Light Gray,2729
9V,Orange,61
9V,Pearl Light Gray,128
9V,Red,2535
9V,Tan,92
9V,Trans-Clear,348
9V,Trans-Dark Blue,16
9V,Trans-Green,21
9V,Trans-Light Blue,296
9V,Trans-Neon Green,45
9V,Trans-Red,139
9V,Trans-Yellow,170
9V,White,1533
9V,Yellow,1963
9V,[No Color/Any Color],46
Action Wheelers,Black,77
Action Wheelers,Blue,3
Action Wheelers,Brown,1
Action Wheelers,Chrome Silver,14
Action Wheelers,Dark Gray,18
Action Wheelers,Green,2
Action Wheelers,Light Gray,13
Action Wheelers,Pearl Light Gray,3
Action Wheelers,Red,28
Action Wheelers,Trans-Brown,1
Action Wheelers,Trans-Neon Green,6
Action Wheelers,Trans-Red,5
Action Wheelers,Trans-Yellow,2
Action Wheelers,White,1
Action Wheelers,Yellow,25
Action Wheelers,[No Color/Any Color],9
Activity Books,Black,1
Activity Books,Medium Azure,1
Activity Books,Sand Green,1
Activity Books,White,2
Activity Books with LEGO Parts,Black,947
Activity Books with LEGO Parts,Blue,88
Activity Books with LEGO Parts,Bright Green,25
Activity Books with LEGO Parts,Bright Light Blue,7
Activity Books with LEGO Parts,Bright Light Orange,62
Activity Books with LEGO Parts,Bright Light Yellow,6
Activity Books with LEGO Parts,Bright Pink,20
Activity Books with LEGO Parts,Coral,1
Activity Books with LEGO Parts,Dark Azure,18
Activity Books with LEGO Parts,Dark Blue,87
Activity Books with LEGO Parts,Dark Bluish Gray,532
Activity Books with LEGO Parts,Dark Brown,63
Activity Books with LEGO Parts,Dark Green,64
Activity Books with LEGO Parts,Dark Orange,20
Activity Books with LEGO Parts,Dark Pink,31
Activity Books with LEGO Parts,Dark Purple,27
Activity Books with LEGO Parts,Dark Red,58
Activity Books with LEGO Parts,Dark Tan,89
Activity Books with LEGO Parts,Dark Turquoise,15
Activity Books with LEGO Parts,Flat Silver,90
Activity Books with LEGO Parts,Glitter Trans-Dark Pink,1
Activity Books with LEGO Parts,Green,162
Activity Books with LEGO Parts,Lavender,11
Activity Books with LEGO Parts,Light Aqua,2
Activity Books with LEGO Parts,Light Bluish Gray,569
Activity Books with LEGO Parts,Lime,105
Activity Books with LEGO Parts,Magenta,44
Activity Books with LEGO Parts,Medium Azure,54
Activity Books with LEGO Parts,Medium Lavender,37
Activity Books with LEGO Parts,Medium Nougat,44
Activity Books with LEGO Parts,Metallic Gold,6
Activity Books with LEGO Parts,Metallic Silver,9
Activity Books with LEGO Parts,Olive Green,12
Activity Books with LEGO Parts,Opal Trans-Purple,2
Activity Books with LEGO Parts,Orange,68
Activity Books with LEGO Parts,Pearl Gold,198
Activity Books with LEGO Parts,Pearl Light Gray,7
Activity Books with LEGO Parts,Pearl Titanium,26
Activity Books with LEGO Parts,Red,388
Activity Books with LEGO Parts,Reddish Brown,315
Activity Books with LEGO Parts,Sand Green,7
Activity Books with LEGO Parts,Speckle Black-Silver,1
Activity Books with LEGO Parts,Tan,213
Activity Books with LEGO Parts,Trans-Bright Green,36
Activity Books with LEGO Parts,Trans-Brown,13
Activity Books with LEGO Parts,Trans-Clear,54
Activity Books with LEGO Parts,Trans-Dark Blue,37
Activity Books with LEGO Parts,Trans-Dark Pink,22
Activity Books with LEGO Parts,Trans-Green,11
Activity Books with LEGO Parts,Trans-Light Blue,66
Activity Books with LEGO Parts,Trans-Medium Blue,1
Activity Books with LEGO Parts,Trans-Neon Green,9
Activity Books with LEGO Parts,Trans-Neon Orange,39
Activity Books with LEGO Parts,Trans-Orange,85
Activity Books with LEGO Parts,Trans-Purple,2
Activity Books with LEGO Parts,Trans-Red,53
Activity Books with LEGO Parts,Trans-Yellow,28
Activity Books with LEGO Parts,Vibrant Yellow,2
Activity Books with LEGO Parts,White,563
Activity Books with LEGO Parts,Yellow,163
Activity Books with LEGO Parts,Yellowish Green,2
Activity Books with LEGO Parts,[No Color/Any Color],16
Advent,Black,158
Advent,Blue,67
Advent,Bright Green,7
Advent,Bright Light Blue,8
Advent,Bright Light Orange,8
Advent,Bright Pink,1
Advent,Dark Azure,1
Advent,Dark Blue,3
Advent,Dark Bluish Gray,37
Advent,Dark Brown,10
Advent,Dark Green,16
Advent,Dark Orange,1
Advent,Dark Red,7
Advent,Dark Tan,22
Advent,Dark Turquoise,2
Advent,Flat Silver,11
Advent,Glitter Trans-Purple,1
Advent,Green,95
Advent,Light Bluish Gray,39
Advent,Light Gray,17
Advent,Lime,7
Advent,Medium Azure,6
Advent,Medium Blue,5
Advent,Medium Lavender,1
Advent,Medium Nougat,15
Advent,Nougat,1
Advent,Olive Green,2
Advent,Orange,12
Advent,Pearl Gold,9
Advent,Pearl Titanium,1
Advent,Red,188
Advent,Reddish Brown,78
Advent,Sand Green,1
Advent,Tan,46
Advent,Trans-Clear,43
Advent,Trans-Dark Blue,4
Advent,Trans-Green,10
Advent,Trans-Light Blue,12
Advent,Trans-Orange,16
Advent,Trans-Red,11
Advent,Trans-Yellow,14
Advent,White,197
Advent,Yellow,104
Advent,Yellowish Green,3
Agents,Black,1631
Agents,Blue,190
Agents,Bright Green,1
Agents,Dark Blue,609
Agents,Dark Bluish Gray,906
Agents,Dark Brown,118
Agents,Dark Green,9
Agents,Dark Red,16
Agents,Dark Tan,8
Agents,Green,29
Agents,Light Bluish Gray,1480
Agents,Lime,41
Agents,Medium Blue,4
Agents,Metallic Gold,15
Agents,Metallic Silver,128
Agents,Orange,277
Agents,Pearl Dark Gray,1
Agents,Pearl Light Gray,62
Agents,Red,246
Agents,Reddish Brown,59
Agents,Tan,73
Agents,Trans-Brown,19
Agents,Trans-Clear,62
Agents,Trans-Dark Pink,4
Agents,Trans-Green,26
Agents,Trans-Light Blue,6
Agents,Trans-Neon Green,78
Agents,Trans-Neon Orange,41
Agents,Trans-Orange,104
Agents,Trans-Red,127
Agents,Trans-Yellow,51
Agents,White,113
Agents,Yellow,283
Agents,[No Color/Any Color],18
Airlines,Black,81
Airlines,Blue,84
Airlines,Brown,1
Airlines,Dark Gray,3
Airlines,Flat Silver,4
Airlines,Green,10
Airlines,Light Bluish Gray,13
Airlines,Light Gray,150
Airlines,Metallic Silver,4
Airlines,Red,124
Airlines,Trans-Brown,1
Airlines,Trans-Clear,29
Airlines,Trans-Dark Blue,2
Airlines,Trans-Green,7
Airlines,Trans-Light Blue,21
Airlines,Trans-Red,16
Airlines,Trans-Yellow,4
Airlines,White,362
Airlines,Yellow,31
Airlines,[No Color/Any Color],9
Airport,Black,2443
Airport,Blue,1013
Airport,Bright Light Orange,32
Airport,Bright Pink,3
Airport,Coral,8
Airport,Dark Azure,92
Airport,Dark Blue,78
Airport,Dark Bluish Gray,1274
Airport,Dark Orange,3
Airport,Dark Pink,1
Airport,Dark Purple,1
Airport,Dark Tan,38
Airport,Dark Turquoise,5
Airport,Flat Silver,58
Airport,Green,352
Airport,Lavender,1
Airport,Light Aqua,1
Airport,Light Bluish Gray,2217
Airport,Light Gray,111
Airport,Lime,74
Airport,Medium Azure,3
Airport,Medium Nougat,19
Airport,Metallic Gold,24
Airport,Metallic Silver,11
Airport,Milky White,2
Airport,Orange,160
Airport,Red,1413
Airport,Reddish Brown,126
Airport,Sand Blue,3
Airport,Tan,133
Airport,Trans-Bright Green,1
Airport,Trans-Brown,224
Airport,Trans-Clear,163
Airport,Trans-Dark Blue,85
Airport,Trans-Green,95
Airport,Trans-Light Blue,375
Airport,Trans-Neon Green,16
Airport,Trans-Orange,67
Airport,Trans-Red,194
Airport,Trans-Yellow,112
Airport,Vibrant Yellow,27
Airport,White,3329
Airport,Yellow,983
Airport,[No Color/Any Color],50
Alien Conquest,Black,306
Alien Conquest,Blue,345
Alien Conquest,Dark Bluish Gray,353
Alien Conquest,Dark Purple,73
Alien Conquest,Dark Tan,10
Alien Conquest,Flat Silver,12
Alien Conquest,Light Bluish Gray,497
Alien Conquest,Lime,114
Alien Conquest,Pearl Titanium,3
Alien Conquest,Red,51
Alien Conquest,Reddish Brown,5
Alien Conquest,Tan,17
Alien Conquest,Trans-Bright Green,2
Alien Conquest,Trans-Brown,13
Alien Conquest,Trans-Clear,27
Alien Conquest,Trans-Dark Blue,20
Alien Conquest,Trans-Green,20
Alien Conquest,Trans-Light Blue,41
Alien Conquest,Trans-Neon Green,91
Alien Conquest,Trans-Neon Orange,38
Alien Conquest,Trans-Red,28
Alien Conquest,White,43
Alien Conquest,Yellow,133
Alien Conquest,[No Color/Any Color],8
Alpha Team,Black,325
Alpha Team,Blue,10
Alpha Team,Dark Gray,133
Alpha Team,Green,8
Alpha Team,Light Gray,167
Alpha Team,Orange,2
Alpha Team,Purple,4
Alpha Team,Red,113
Alpha Team,Trans-Dark Blue,9
Alpha Team,Trans-Green,1
Alpha Team,Trans-Neon Green,72
Alpha Team,Trans-Neon Orange,57
Alpha Team,Trans-Red,14
Alpha Team,White,55
Alpha Team,Yellow,100
Alpha Team,[No Color/Any Color],7
Angry Birds,Black,253
Angry Birds,Blue,33
Angry Birds,Bright Green,6
Angry Birds,Bright Light Orange,6
Angry Birds,Bright Pink,11
Angry Birds,Dark Azure,1
Angry Birds,Dark Bluish Gray,419
Angry Birds,Dark Brown,17
Angry Birds,Dark Green,12
Angry Birds,Dark Orange,6
Angry Birds,Dark Pink,6
Angry Birds,Dark Purple,10
Angry Birds,Dark Red,2
Angry Birds,Dark Tan,58
Angry Birds,Flat Silver,19
Angry Birds,Green,23
Angry Birds,Light Bluish Gray,568
Angry Birds,Lime,21
Angry Birds,Magenta,14
Angry Birds,Medium Azure,40
Angry Birds,Medium Blue,3
Angry Birds,Medium Lavender,5
Angry Birds,Medium Nougat,62
Angry Birds,Orange,4
Angry Birds,Pearl Gold,71
Angry Birds,Pearl Titanium,1
Angry Birds,Red,111
Angry Birds,Reddish Brown,341
Angry Birds,Tan,100
Angry Birds,Trans-Clear,11
Angry Birds,Trans-Green,11
Angry Birds,Trans-Orange,6
Angry Birds,Trans-Red,2
Angry Birds,Trans-Yellow,1
Angry Birds,White,130
Angry Birds,Yellow,63
Angry Birds,[No Color/Any Color],3
Animal Crossing,Black,181
Animal Crossing,Blue,52
Animal Crossing,Bright Green,205
Animal Crossing,Bright Light Blue,9
Animal Crossing,Bright Light Orange,221
Animal Crossing,Bright Light Yellow,95
Animal Crossing,Bright Pink,182
Animal Crossing,Coral,14
Animal Crossing,Dark Azure,50
Animal Crossing,Dark Blue,1
Animal Crossing,Dark Bluish Gray,63
Animal Crossing,Dark Brown,6
Animal Crossing,Dark Green,11
Animal Crossing,Dark Orange,131
Animal Crossing,Dark Pink,46
Animal Crossing,Dark Purple,55
Animal Crossing,Dark Red,9
Animal Crossing,Dark Tan,20
Animal Crossing,Dark Turquoise,38
Animal Crossing,Flat Silver,20
Animal Crossing,Green,402
Animal Crossing,Lavender,15
Animal Crossing,Light Aqua,6
Animal Crossing,Light Bluish Gray,350
Animal Crossing,Lime,108
Animal Crossing,Magenta,74
Animal Crossing,Medium Azure,89
Animal Crossing,Medium Lavender,14
Animal Crossing,Medium Nougat,170
Animal Crossing,Metallic Silver,1
Animal Crossing,Nougat,10
Animal Crossing,Olive Green,5
Animal Crossing,Opal Trans-Dark Pink,1
Animal Crossing,Orange,185
Animal Crossing,Pearl Gold,26
Animal Crossing,Red,207
Animal Crossing,Reddish Brown,270
Animal Crossing,Reddish Orange,9
Animal Crossing,Sand Green,3
Animal Crossing,Tan,442
Animal Crossing,Trans-Black,1
Animal Crossing,Trans-Clear,56
Animal Crossing,Trans-Dark Blue,2
Animal Crossing,Trans-Dark Pink,3
Animal Crossing,Trans-Green,2
Animal Crossing,Trans-Light Blue,23
Animal Crossing,Trans-Orange,9
Animal Crossing,Trans-Purple,5
Animal Crossing,Trans-Red,15
Animal Crossing,Trans-Yellow,13
Animal Crossing,White,1047
Animal Crossing,Yellow,80
Animal Crossing,Yellowish Green,6
Aquanauts,Black,406
Aquanauts,Blue,28
Aquanauts,Chrome Silver,38
Aquanauts,Green,7
Aquanauts,Light Blue,2
Aquanauts,Light Gray,34
Aquanauts,Red,5
Aquanauts,Trans-Dark Blue,25
Aquanauts,Trans-Neon Orange,69
Aquanauts,Yellow,456
Aquaraiders I,Black,231
Aquaraiders I,Blue,8
Aquaraiders I,Chrome Silver,22
Aquaraiders I,Dark Gray,8
Aquaraiders I,Green,127
Aquaraiders I,Light Gray,31
Aquaraiders I,Red,1
Aquaraiders I,Trans-Neon Green,58
Aquaraiders I,Yellow,28
Aquaraiders I,[No Color/Any Color],5
Aquaraiders II,Black,849
Aquaraiders II,Blue,52
Aquaraiders II,Bright Light Orange,2
Aquaraiders II,Chrome Gold,24
Aquaraiders II,Chrome Silver,6
Aquaraiders II,Dark Blue,66
Aquaraiders II,Dark Bluish Gray,342
Aquaraiders II,Dark Green,18
Aquaraiders II,Dark Red,26
Aquaraiders II,Glow In Dark Trans,16
Aquaraiders II,Green,9
Aquaraiders II,Light Bluish Gray,278
Aquaraiders II,Metallic Gold,2
Aquaraiders II,Pearl Light Gray,25
Aquaraiders II,Red,182
Aquaraiders II,Reddish Brown,26
Aquaraiders II,Tan,32
Aquaraiders II,Trans-Brown,6
Aquaraiders II,Trans-Clear,24
Aquaraiders II,Trans-Dark Blue,46
Aquaraiders II,Trans-Dark Pink,2
Aquaraiders II,Trans-Green,48
Aquaraiders II,Trans-Light Blue,19
Aquaraiders II,Trans-Medium Blue,4
Aquaraiders II,Trans-Neon Green,3
Aquaraiders II,Trans-Red,57
Aquaraiders II,Trans-Yellow,6
Aquaraiders II,White,84
Aquaraiders II,Yellow,534
Aquaraiders II,[No Color/Any Color],3
Aquasharks,Black,412
Aquasharks,Blue,153
Aquasharks,Chrome Silver,21
Aquasharks,Dark Gray,6
Aquasharks,Green,6
Aquasharks,Light Blue,2
Aquasharks,Light Gray,13
Aquasharks,Red,6
Aquasharks,Trans-Neon Orange,59
Aquazone,Black,3
Aquazone,Blue,2
Aquazone,Chrome Silver,6
Aquazone,Dark Gray,2
Aquazone,Green,2
Aquazone,Red,1
Architecture,Black,3822
Architecture,Blue,355
Architecture,Bright Green,112
Architecture,Bright Light Orange,59
Architecture,Bright Light Yellow,4
Architecture,Bright Pink,50
Architecture,Dark Azure,32
Architecture,Dark Blue,158
Architecture,Dark Bluish Gray,2869
Architecture,Dark Brown,62
Architecture,Dark Green,1096
Architecture,Dark Orange,194
Architecture,Dark Purple,2
Architecture,Dark Red,1460
Architecture,Dark Tan,1813
Architecture,Dark Turquoise,10
Architecture,Flat Silver,90
Architecture,Green,549
Architecture,Light Aqua,10
Architecture,Light Bluish Gray,5932
Architecture,Light Nougat,108
Architecture,Lime,40
Architecture,Magenta,5
Architecture,Medium Azure,58
Architecture,Medium Blue,156
Architecture,Medium Nougat,19
Architecture,Metallic Gold,3
Architecture,Metallic Silver,20
Architecture,Olive Green,515
Architecture,Orange,107
Architecture,Pearl Gold,51
Architecture,Red,349
Architecture,Reddish Brown,468
Architecture,Sand Blue,55
Architecture,Sand Green,934
Architecture,Tan,9801
Architecture,Trans-Black,111
Architecture,Trans-Brown,645
Architecture,Trans-Clear,1431
Architecture,Trans-Dark Blue,2
Architecture,Trans-Light Blue,770
Architecture,Trans-Orange,2
Architecture,White,11196
Architecture,Yellow,159
Arctic,Black,1858
Arctic,Blue,243
Arctic,Bright Green,2
Arctic,Bright Light Blue,3
Arctic,Bright Light Orange,13
Arctic,Bright Light Yellow,1
Arctic,Bright Pink,2
Arctic,Brown,2
Arctic,Dark Azure,68
Arctic,Dark Blue,414
Arctic,Dark Bluish Gray,1185
Arctic,Dark Brown,2
Arctic,Dark Gray,49
Arctic,Dark Green,32
Arctic,Dark Orange,9
Arctic,Dark Red,1
Arctic,Dark Tan,69
Arctic,Dark Turquoise,34
Arctic,Flat Silver,63
Arctic,Green,18
Arctic,Light Bluish Gray,1409
Arctic,Light Gray,137
Arctic,Lime,27
Arctic,Medium Azure,288
Arctic,Medium Nougat,37
Arctic,Metallic Silver,16
Arctic,Olive Green,24
Arctic,Orange,1345
Arctic,Pearl Gold,11
Arctic,Pearl Titanium,13
Arctic,Red,158
Arctic,Reddish Brown,119
Arctic,Sand Green,12
Arctic,Tan,135
Arctic,Trans-Bright Green,1
Arctic,Trans-Brown,10
Arctic,Trans-Clear,212
Arctic,Trans-Dark Blue,23
Arctic,Trans-Green,37
Arctic,Trans-Light Blue,282
Arctic,Trans-Medium Blue,2
Arctic,Trans-Neon Green,55
Arctic,Trans-Neon Orange,5
Arctic,Trans-Orange,82
Arctic,Trans-Red,102
Arctic,Trans-Yellow,48
Arctic,White,1304
Arctic,Yellow,206
Arctic,Yellowish Green,3
Arctic,[No Color/Any Color],25
Atlantis,Black,1525
Atlantis,Blue,160
Atlantis,Dark Bluish Gray,1151
Atlantis,Dark Brown,8
Atlantis,Dark Green,137
Atlantis,Dark Red,67
Atlantis,Dark Tan,100
Atlantis,Flat Silver,59
Atlantis,Glow In Dark Trans,4
Atlantis,Green,12
Atlantis,Light Bluish Gray,706
Atlantis,Lime,262
Atlantis,Orange,66
Atlantis,Pearl Dark Gray,8
Atlantis,Pearl Gold,218
Atlantis,Pearl Light Gray,37
Atlantis,Red,1108
Atlantis,Reddish Brown,6
Atlantis,Sand Green,1
Atlantis,Speckle Black-Gold,4
Atlantis,Tan,195
Atlantis,Trans-Bright Green,54
Atlantis,Trans-Clear,91
Atlantis,Trans-Dark Blue,28
Atlantis,Trans-Green,40
Atlantis,Trans-Light Blue,18
Atlantis,Trans-Neon Green,5
Atlantis,Trans-Orange,5
Atlantis,Trans-Purple,1
Atlantis,Trans-Red,97
Atlantis,Trans-Yellow,46
Atlantis,White,506
Atlantis,Yellow,197
Atlantis,[No Color/Any Color],29
Audio and Visual Media,Reddish Brown,1
Audio and Visual Media,[No Color/Any Color],7
Avatar,Black,698
Avatar,Blue,55
Avatar,Bright Green,17
Avatar,Bright Light Blue,29
Avatar,Bright Light Orange,78
Avatar,Bright Light Yellow,7
Avatar,Bright Pink,20
Avatar,Coral,3
Avatar,Dark Azure,19
Avatar,Dark Blue,265
Avatar,Dark Bluish Gray,782
Avatar,Dark Brown,46
Avatar,Dark Green,29
Avatar,Dark Orange,11
Avatar,Dark Pink,32
Avatar,Dark Purple,24
Avatar,Dark Red,72
Avatar,Dark Tan,190
Avatar,Dark Turquoise,103
Avatar,Flat Silver,9
Avatar,Glow in Dark White,35
Avatar,Green,76
Avatar,Lavender,28
Avatar,Light Aqua,67
Avatar,Light Bluish Gray,538
Avatar,Lime,66
Avatar,Magenta,56
Avatar,Medium Azure,45
Avatar,Medium Blue,22
Avatar,Medium Lavender,26
Avatar,Medium Nougat,35
Avatar,Olive Green,70
Avatar,Opal Trans-Dark Blue,5
Avatar,Orange,100
Avatar,Pearl Gold,2
Avatar,Pearl Titanium,5
Avatar,Red,161
Avatar,Reddish Brown,300
Avatar,Sand Blue,60
Avatar,Sand Green,288
Avatar,Tan,231
Avatar,Trans-Bright Green,12
Avatar,Trans-Brown,12
Avatar,Trans-Clear,66
Avatar,Trans-Dark Blue,3
Avatar,Trans-Dark Pink,137
Avatar,Trans-Light Blue,27
Avatar,Trans-Orange,24
Avatar,Trans-Purple,3
Avatar,Trans-Red,5
Avatar,Trans-Yellow,18
Avatar,White,332
Avatar,Yellow,260
Avatar,Yellowish Green,22
Avatar,[No Color/Any Color],4
Avatar: The Last Airbender,Black,270
Avatar: The Last Airbender,Blue,3
Avatar: The Last Airbender,Dark Bluish Gray,391
Avatar: The Last Airbender,Dark Red,32
Avatar: The Last Airbender,Light Bluish Gray,111
Avatar: The Last Airbender,Light Tan,1
Avatar: The Last Airbender,Red,75
Avatar: The Last Airbender,Reddish Brown,49
Avatar: The Last Airbender,Sand Green,9
Avatar: The Last Airbender,Tan,101
Avatar: The Last Airbender,Trans-Clear,3
Avatar: The Last Airbender,Trans-Dark Blue,3
Avatar: The Last Airbender,Trans-Green,10
Avatar: The Last Airbender,Trans-Neon Orange,7
Avatar: The Last Airbender,Trans-Red,9
Avatar: The Last Airbender,White,27
Avatar: The Last Airbender,[No Color/Any Color],1
Avengers,Black,4508
Avengers,Blue,604
Avengers,Bright Green,34
Avengers,Bright Light Blue,1
Avengers,Bright Light Orange,34
Avengers,Bright Light Yellow,4
Avengers,Bright Pink,16
Avengers,Chrome Gold,3
Avengers,Dark Azure,342
Avengers,Dark Blue,1222
Avengers,Dark Bluish Gray,5107
Avengers,Dark Brown,24
Avengers,Dark Green,45
Avengers,Dark Orange,31
Avengers,Dark Pink,1
Avengers,Dark Purple,77
Avengers,Dark Red,1148
Avengers,Dark Tan,538
Avengers,Dark Turquoise,44
Avengers,Flat Silver,614
Avengers,Glow in Dark White,15
Avengers,Green,105
Avengers,Light Bluish Gray,6107
Avengers,Light Nougat,9
Avengers,Lime,119
Avengers,Magenta,3
Avengers,Medium Azure,27
Avengers,Medium Blue,17
Avengers,Medium Lavender,10
Avengers,Medium Nougat,60
Avengers,Metallic Gold,81
Avengers,Metallic Silver,42
Avengers,Olive Green,19
Avengers,Opal Trans-Clear,1
Avengers,Opal Trans-Light Blue,11
Avengers,Opal Trans-Purple,1
Avengers,Orange,327
Avengers,Pearl Gold,732
Avengers,Pearl Titanium,150
Avengers,Red,935
Avengers,Reddish Brown,371
Avengers,Sand Blue,110
Avengers,Sand Green,7
Avengers,Tan,402
Avengers,Trans-Black,316
Avengers,Trans-Bright Green,14
Avengers,Trans-Brown,119
Avengers,Trans-Clear,356
Avengers,Trans-Dark Blue,169
Avengers,Trans-Dark Pink,11
Avengers,Trans-Green,30
Avengers,Trans-Light Blue,1294
Avengers,Trans-Medium Blue,32
Avengers,Trans-Neon Green,68
Avengers,Trans-Neon Orange,41
Avengers,Trans-Orange,424
Avengers,Trans-Purple,176
Avengers,Trans-Red,272
Avengers,Trans-Yellow,106
Avengers,White,1019
Avengers,Yellow,419
Avengers,[No Color/Any Color],58
Basic,Black,4646
Basic,Blue,7742
Basic,Brown,17
Basic,Chrome Silver,2
Basic,Dark Gray,34
Basic,Duplo Pink,20
Basic,Green,1104
Basic,Light Gray,411
Basic,Light Green,7
Basic,Light Pink,37
Basic,Milky White,2
Basic,Red,10322
Basic,Tan,7
Basic,Trans-Clear,437
Basic,Trans-Dark Blue,18
Basic,Trans-Green,20
Basic,Trans-Light Blue,12
Basic,Trans-Red,38
Basic,Trans-Yellow,49
Basic,White,7810
Basic,Yellow,8070
Basic,[No Color/Any Color],55
Basic Set,Black,415
Basic Set,Blue,3624
Basic Set,Bright Green,1162
Basic Set,Bright Light Blue,5
Basic Set,Bright Light Orange,96
Basic Set,Bright Light Yellow,106
Basic Set,Bright Pink,58
Basic Set,Bright Reddish Orange,12
Basic Set,Brown,16
Basic Set,Chrome Silver,2
Basic Set,Coral,87
Basic Set,Curry,4
Basic Set,Dark Azure,51
Basic Set,Dark Blue,4
Basic Set,Dark Bluish Gray,25
Basic Set,Dark Brown,1
Basic Set,Dark Gray,7
Basic Set,Dark Orange,217
Basic Set,Dark Pink,110
Basic Set,Dark Purple,46
Basic Set,Dark Red,14
Basic Set,Dark Tan,2
Basic Set,Dark Turquoise,10
Basic Set,Earth Orange,1
Basic Set,Fabuland Brown,2
Basic Set,Fabuland Red,2
Basic Set,Flat Dark Gold,1
Basic Set,Flat Silver,2
Basic Set,Glitter Trans-Light Blue,1
Basic Set,Glow In Dark Opaque,4
Basic Set,Green,2357
Basic Set,Lavender,41
Basic Set,Light Aqua,68
Basic Set,Light Bluish Gray,52
Basic Set,Light Gray,22
Basic Set,Light Lilac,1
Basic Set,Light Nougat,1
Basic Set,Light Turquoise,2
Basic Set,Light Yellow,2
Basic Set,Lime,674
Basic Set,Magenta,11
Basic Set,Medium Azure,311
Basic Set,Medium Blue,448
Basic Set,Medium Bluish Violet,3
Basic Set,Medium Brown,1
Basic Set,Medium Green,1
Basic Set,Medium Lavender,6
Basic Set,Medium Lime,5
Basic Set,Medium Nougat,18
Basic Set,Medium Orange,46
Basic Set,Nougat,4
Basic Set,Opal Trans-Clear,1
Basic Set,Orange,755
Basic Set,Pearl Gold,12
Basic Set,Purple,8
Basic Set,Red,4467
Basic Set,Reddish Brown,32
Basic Set,Reddish Orange,3
Basic Set,Sand Blue,1
Basic Set,Tan,12
Basic Set,Trans-Clear,5
Basic Set,Trans-Dark Blue,4
Basic Set,Trans-Green,1
Basic Set,Trans-Light Blue,81
Basic Set,Trans-Purple,1
Basic Set,Trans-Yellow,4
Basic Set,Very Light Gray,1
Basic Set,Violet,33
Basic Set,Warm Tan,1
Basic Set,White,580
Basic Set,Yellow,4473
Basic Set,Yellowish Green,49
Basic Set,[No Color/Any Color],29
Basketball,Black,237
Basketball,Blue,142
Basketball,Brown,1
Basketball,Dark Blue,1
Basketball,Dark Bluish Gray,5
Basketball,Dark Gray,225
Basketball,Dark Orange,1
Basketball,Green,1
Basketball,Light Bluish Gray,4
Basketball,Light Gray,172
Basketball,Medium Orange,9
Basketball,Medium Violet,1
Basketball,Milky White,4
Basketball,Orange,51
Basketball,Red,304
Basketball,Sand Green,29
Basketball,Tan,185
Basketball,Trans-Brown,1
Basketball,Trans-Clear,9
Basketball,Trans-Neon Green,3
Basketball,Violet,1
Basketball,White,119
Basketball,Yellow,4
Basketball,[No Color/Any Color],16
Batman,Black,16044
Batman,Blue,732
Batman,Bright Green,32
Batman,Bright Light Blue,70
Batman,Bright Light Orange,153
Batman,Bright Light Yellow,211
Batman,Bright Pink,19
Batman,Coral,4
Batman,Dark Azure,20
Batman,Dark Blue,647
Batman,Dark Bluish Gray,7156
Batman,Dark Brown,344
Batman,Dark Green,192
Batman,Dark Orange,278
Batman,Dark Pink,9
Batman,Dark Purple,232
Batman,Dark Red,393
Batman,Dark Tan,1112
Batman,Dark Turquoise,9
Batman,Flat Silver,821
Batman,Glow in Dark White,4
Batman,Green,368
Batman,Light Aqua,27
Batman,Light Bluish Gray,6581
Batman,Light Nougat,7
Batman,Lime,177
Batman,Magenta,3
Batman,Medium Azure,66
Batman,Medium Blue,2
