year,color,total_quantity
1967.0,Trans-Clear,147
1967.0,White,666
1967.0,Yellow,475
1967.0,[No Color/Any Color],2
1968.0,Black,814
1968.0,Blue,473
1968.0,Green,13
1968.0,Light Gray,305
1968.0,Milky White,4
1968.0,Red,2068
1968.0,Trans-Clear,244
1968.0,White,1388
1968.0,Yellow,626
1969.0,Black,1023
1969.0,Blue,1066
1969.0,Green,51
1969.0,Light Gray,314
1969.0,Metal,2
1969.0,Milky White,6
1969.0,Red,1928
1969.0,Trans-Clear,454
1969.0,Trans-Green,4
1969.0,Trans-Red,4
1969.0,Trans-Yellow,4
1969.0,White,1411
1969.0,Yellow,618
1970.0,Black,615
1970.0,Blue,316
1970.0,Green,133
1970.0,HO Blue-gray,1
1970.0,Light Gray,173
1970.0,Metal,12
1970.0,Milky White,33
1970.0,Red,1145
1970.0,Trans-Clear,193
1970.0,White,865
1970.0,Yellow,449
1971.0,Black,740
1971.0,Blue,592
1971.0,Green,119
1971.0,Light Gray,101
1971.0,Red,1837
1971.0,Trans-Clear,186
1971.0,White,1417
1971.0,Yellow,386
1971.0,[No Color/Any Color],2
1972.0,Black,750
1972.0,Blue,838
1972.0,Green,22
1972.0,Light Gray,203
1972.0,Milky White,18
1972.0,Red,1267
1972.0,Trans-Clear,97
1972.0,White,743
1972.0,Yellow,647
1972.0,[No Color/Any Color],19
1973.0,Black,1106
1973.0,Blue,1218
1973.0,Green,59
1973.0,Light Gray,151
1973.0,Milky White,2
1973.0,Red,2434
1973.0,Trans-Clear,239
1973.0,White,1901
1973.0,Yellow,914
1973.0,[No Color/Any Color],20
1974.0,Black,810
1974.0,Blue,579
1974.0,Brown,6
1974.0,Green,9
1974.0,Light Gray,217
1974.0,Maersk Blue,7
1974.0,Metal,16
1974.0,Milky White,29
1974.0,Red,1076
1974.0,Trans-Clear,160
1974.0,White,862
1974.0,Yellow,592
1974.0,[No Color/Any Color],20
1975.0,Black,1222
1975.0,Blue,1034
1975.0,Brown,7
1975.0,Green,37
1975.0,Light Gray,129
1975.0,Milky White,10
1975.0,Red,1538
1975.0,Trans-Clear,165
1975.0,White,492
1975.0,Yellow,826
