fig_num,num_distinct_colors,fig_name,num_parts
fig-000104,3,"Racer, Plain Black, White Helmet (3842b Helmet)",4
fig-000105,17,"Spaceman, Doc",5
fig-000106,4,"Blacktron II - Jetpack, 3626a Head",8
fig-000107,4,"Blacktron II - Jetpack, 3626b Head",8
fig-000108,7,"Policeman, Black Jacket with Zipper, Radio, and Badge, White Hat, Sunglasses",4
fig-000109,17,Cole (The Golden Weapons),4
fig-000110,2,Mermaid,4
fig-000111,10,Zane DX,4
fig-000112,7,LEGOLAND Red with Black hat,4
fig-000113,5,Ice Planet - White Hair,6
fig-000114,9,Spyrius,6
fig-000115,0,TC-4,3
fig-000116,16,"Arctic Crew, Black, White Cap",4
fig-000117,2,Sumo Wrestler (CMF),4
fig-000118,14,"Paramedic, Vibrant Yellow Safety Vest, Dark Turquoise Legs, Dark Orange Hair",4
fig-000119,7,"Spaceman, Assistant (23318 Visor)",5
fig-000120,21,"Santa, Plain Yellow, Black Hips",5
fig-000121,15,"White Torso, Red Legs, Black Hair",4
fig-000122,21,Legolas Greenleaf,4
fig-000123,18,Snap Lockitt,4
fig-000124,42,"Chewbacca, Reddish Brown",3
fig-000125,11,Worriz in Fire Chi Outfit,4
fig-000126,13,"Racer, Yellow and White Outfit with Tiger, Black Diving Helmet with Visor",5
fig-000127,12,"Construction Worker, Blue Overalls, Red Hard Hat",4
fig-000128,9,"Man, White Vest with Truck, Blue Legs, Red Cap (3626a Head)",4
fig-000129,27,Director,4
fig-000130,11,"White Torso, Black Legs, Dark Brown Hair, Glasses",4
fig-000131,3,Marge Simpson (CMF),4
fig-000132,2,Monster with Black Helmet,4
fig-000133,4,"Man, Plain Blue, White Helmet with Visor",5
fig-000134,9,"Construction Worker, Red Torso, Blue Legs, Red Hard Hat, Yellow Vest",5
fig-000135,6,"Racer, Blue Jumpsuit with Octan Logo, White Helmet with Visor, Yellow Life Vest",6
fig-000136,17,"Paramedic, Vibrant Yellow Safety Vest, Dark Turquoise Legs, Dark Orange Hair, Safety Glasses",5
fig-000137,7,Soldier (Imperial Soldier) - Bicorne Hat,5
fig-000138,11,"Axel, Trans-Neon Green Visor",5
fig-000139,13,"Worker - Blue Torso, Orange Overall, Black Cap",4
fig-000140,20,"Construction Worker, Orange Jacket with Zipper and Reflective Stripes, Red Hard Hat, Stubble",4
fig-000141,22,"Volcano Explorer, Man, Olive Green Jumpsuit with Straps, White Hard Hat with Visor, Breathing Apparatus, Airtanks, Goatee Beard",7
fig-000142,12,"AT-AT Driver, Sand Blue Uniform",4
fig-000143,21,Gorzan with Flat Silver Shoulder Armor,6
fig-000144,31,"Luke Skywalker, White Robe, White Legs, Cheek Lines",4
fig-000145,17,Bard the Bowman,4
fig-000146,8,"Racer, White Shirt with Two Stripes and 'S', White Legs, Blue Helmet with Visor",5
fig-000147,0,Jor-El,5
fig-000148,7,"Race Driver, Orange Torso, Orange Legs, Red  Helmet",5
fig-000149,33,Jay ZX with Shoulder Armour,5
fig-000150,6,"Basketball Player, Light Gray torso, Black Legs",3
fig-000151,9,Worriz with Pearl Gold Shoulder Armor,6
fig-000152,1,Sandy Moondust,5
fig-000153,4,"Racer, White Jacket with Zipper, Red Helmet with Visor (3626a Head)",5
fig-000154,2,"Basketball Player, Tan Torso, Black Legs",3
fig-000155,3,"Man, Green Jacket, Blue Legs, Red Helmet with Visor, Yellow Life Vest, Blue Sunglasses",6
fig-000156,14,"Ninja, Red",4
fig-000157,1,Biff Starling,5
fig-000158,10,"Medium Blue Torso, Blue Overall, Blue Cap",4
fig-000159,13,"Race Driver, Red Torso, Red Legs, Red Helmet - Nitro Flash",5
fig-000160,10,"Man, Blue Torso, Red Legs, Red Cap (3626a Head)",4
fig-000161,18,"Chef, Black Apron with Flaming Burger, Black Legs, Red Cap, Glasses",4
fig-000162,19,"Construction Worker, Orange Jacket with Zipper and Reflective Stripes, Red Hard Hat, Goatee Beard",4
fig-000163,10,"Imperial Shadow Trooper, Short Line on Back, Black, Plain Legs",4
fig-000164,10,"Policeman, Black Jacket with Zipper, Radio, Badge, and 'POLICE' on Back, White Helmet with Visor, Open Mouth",5
fig-000165,7,"Red Torso, Blue Legs, Blue Cap",4
fig-000166,20,"Imperial Officer / Captain / Commandant / Commander, Battle Armor, Black Hips",4
fig-000167,9,"Blue Torso, White Legs, Blue Arctic Hood",4
fig-000168,7,"Soccer Player White Torso with Blue/Red Stripes, Blue Legs, Black Hair",4
fig-000169,9,"Policeman, Dark Blue Jacket with Zipper, Badge, and 'POLICE' on Back, White Helmet with Visor",5
fig-000170,8,"Man - White Torso, Black Legs, Red Hat, Black Legs",4
fig-000171,2,Rocker Girl,4
fig-000172,17,"White Torso, Green Overall, Green Cap",4
fig-000173,31,Chess Piece - Crown - Pawn,4
fig-000174,12,"Racer, Red Jacket with Zipper, Red Helmet with Visor (3626a Head)",5
fig-000175,17,"Man, Blue Overalls over Shirt, Blue Legs, Red Cap, Goatee Beard",4
fig-000176,2,Soccer Player,4
fig-000177,3,Hockey Player,6
fig-000178,28,Zombie Driver,4
fig-000179,32,"Mia - Medium Blue Top, Lime Shorts",4
fig-000180,12,Dastan,4
fig-000181,3,"Man, White Torso with Red and Blue Stripes, White Legs, Red Helmet",4
fig-000182,13,"Man, Black Vest and Tie, Dark Bluish Gray Legs, Black Hair",4
fig-000183,11,"Man, White Vest with Truck, Blue Legs, Blue Cap (3626a Head)",4
fig-000184,10,"King Leo (Knights Kingdom I) - Lion Shield, Helmet",5
fig-000185,20,"Policeman, Black Jacket with Pocket and Badge, White Hat, Smile, Brown Eyebrows",4
fig-000186,2,Sherry Scratchen-Post (CMF),4
fig-000187,17,"Paramedic, Vibrant Yellow Safety Vest, Dark Turquoise Legs, Dark Brown Hair",4
fig-000188,12,"Olivia - Magenta Top, Dark Blue Shorts",4
fig-000189,2,"Flexible Gymnast, Team GB (CMF)",5
fig-000190,20,"Rebel Trooper in Hoth Uniform, Tan Hat, Moustache",6
fig-000191,37,Troll Warrior 3 (Orc),4
fig-000192,38,"Emma - Lavender Top, Bright Light Blue Skirt",4
fig-000193,24,Slithraa,3
fig-000194,11,"Spaceman, Assistant (2447 Visor)",5
fig-000195,19,Harry Cane,5
fig-000196,14,"TIE Pilot, Plain Legs, Plain Black Head (30408 Helmet)",4
fig-000197,3,Artist (CMF),4
fig-000198,16,"Policeman, Black Jacket with Zipper, Radio, and Badge, White Helmet and Visor, Sunglasses",5
fig-000199,18,"Emma - Medium Blue Crop Top, Dark Pink Shorts",5
fig-000200,6,"Woman, Tied Pink Tank Top with Flowers, White Legs, Black Hair",4
fig-000201,2,Lifeguard (CMF),4
fig-000202,15,"Olivia - White Top, Sand Blue Skirt, Headphones",5
fig-000203,4,"Woman, White Shirt with Pockets, White Legs, Red Hair, Yellow Life Vest",5
fig-000204,2,Werewolf,4
fig-000205,3,"Man, White Jacket with Zipper, Red Legs, Red Helmet with Visor",5
fig-000206,3,"LEGOLAND Blue Torso, Blue Legs, Blue Cowboy Hat",4
fig-000207,7,"Man, White Top with Large Red Stripe and 2 Blue Stripes, Blue Legs, Brown Hair",4
fig-000208,16,"Fireman, Classic, Black Fire Jacket with Red Belt and Buttons, White Helmet  (3626a Head)",4
fig-000209,10,"Man, Plain Red, White Cap",4
fig-000210,14,Razcal with Shoulder Armor,10
fig-000211,20,"Waiter, Man, Black Suit and Bow Tie, Chef Hat",4
fig-000212,12,"White Torso, Blue Overall, Red Hard Hat",4
fig-000213,32,Lord Garmadon (The Golden Weapons),5
fig-000214,5,Grumlo with Flat Silver Shoulder Armor,6
fig-000215,5,"Chef, Red Neckerchief, Blue Legs, Red Cap",4
fig-000216,16,"Knight (Royal Knights) - Blue Legs, Dark Gray Neck-Protector",4
fig-000217,5,"Archer (Scale Mail on Red) - Black Arms, Light Gray Legs",5
fig-000218,10,Man with Blue Torso and Black Pants,4
fig-000219,36,"Emma - Lavender Top, Dark Blue Skirt",4
fig-000220,13,"Racer, White Shirt with Two Stripes and 'S', White Legs, Red Helmet",4
fig-000221,12,"Man, Blue Overalls, Red Cap (3626a Head)",4
fig-000222,17,"Tina - White/Silver Top, Dark Purple Skirt",4
fig-000223,0,Martian Manhunter (J'onn J'onzz),4
fig-000224,19,"Chef, Red Neckerchief, White Legs, Moustache",4
fig-000225,15,"Policeman, Black Suit with Pocket and Badge, White Hat (3626a Head)",4
fig-000226,11,"Fireman, Black Fire Jacket with Reflective Stripes, Radio, and Badge, White Helmet, Breathing Apparatus, Airtanks, Silver Sunglasses",7
fig-000227,19,Superman,5
fig-000228,7,"Man, Red Jacket with Classic Space Logo, Dark Orange Hair",4
fig-000229,12,"Res-Q Man, Black Cap, Moustache",4
fig-000230,2,"White Torso, Blue Legs, Red Cap - Anaheim",4
fig-000231,15,"Man, White Shirt with Shell Logo, Red Cap",4
fig-000232,23,Eris in Silver Outfit with Pearl Gold Shoulder Armor,10
fig-000233,15,"Knight (Dragon Knights) - Light Gray Legs, Black Hips",4
fig-000234,11,"Man, Red Top with Dark Blue Arms, Black Legs, Red Cap, Sunglasses",4
fig-000235,22,Zev Senesca with Plain Helmet,4
fig-000236,9,"LEGOLAND Police - Black, White Hat, White Belt",5
fig-000237,9,"LEGOLAND Blue, White Hat",4
fig-000238,15,"Boba Fett, Helmet and Jetpack, Light Gray Armor, Plain Legs",4
fig-000239,10,"LEGOLAND Blue Torso, Black Legs, Red Hat",4
fig-000240,10,"LEGOLAND Red Torso, Blue Legs, Black Hat",4
fig-000241,3,Daredevil,5
fig-000242,6,"Racer, Blue Jacket with Zipper, White Helmet with Visor",5
fig-000243,21,"Policeman, Black Jacket with Zipper, Radio, Badge, and 'POLICE' on Back, White Hat",4
fig-000244,0,Batzarro,5
fig-000245,2,Larry the Barista (CMF),4
fig-000246,16,"Racer, Blue and White Outfit with Shark, Blue Hat with Goggles",5
fig-000247,18,"Stephanie - White Jersey, Dark Blue Trousers",4
fig-000248,23,"Construction Worker, Orange Jacket with Zipper and Reflective Stripes, Orange Legs, Red Hard Hat, Moustache and Stubble",4
fig-000249,23,Shrunken,4
fig-000250,0,Captain Jack Sparrow with Tricorne Hat,4
fig-000251,6,"Knight (Scale Mail on Red) - Black Arms, Blue Legs, Black Chin-Guard",4
fig-000252,16,"Chef - White Torso, Light Gray Legs",4
fig-000253,25,"Conductor - Dark Blue Jacket, Dark Blue Legs, Dark Red Hat, Glasses",4
fig-000254,12,"Construction Worker in Orange Jacket with Zipper and Reflective Stripes, Red Helmet, Smirk and Stubble Beard",4
fig-000255,3,Space Miner,6
fig-000256,26,Spitta,3
fig-000257,13,"White Torso, Blue Legs, Red Cap (3626b Head)",4
fig-000258,16,"Fireman, Black Fire Jacket with Red Belt and Badge, White Helmet",4
fig-000259,10,"T-16 Skyhopper Pilot, Red Outfit, Yellow Skin",4
fig-000260,10,Aquaraider 2,5
fig-000261,4,"Emmet, Neck Bracket",5
fig-000262,0,"Emmet, Pajamas",4
fig-000263,7,"Classic Spaceman, White with Airtanks (3842b Helmet)",5
fig-000264,0,Radio DJ Robot,4
fig-000265,14,"Man, Blue Jacket with Octan Logo, White Legs, Blue Cap",4
fig-000266,17,"Fireman, Black Fire Jacket with Radio and Badge, White Helmet, Airtanks, Breathing Apparatus",7
fig-000267,0,"Emmet, Western Outfit",6
fig-000268,13,"Andrea - White Top, Bright Light Orange Skirt. Magenta Bow",5
fig-000269,0,Soccer Player Coca-Cola Midfielder 1,4
fig-000270,20,Darth Maul in Santa Outfit,5
fig-000271,18,"Doctor, White Torso with Stethoscope and Pocket, White Legs, Black Hair, Glasses",4
fig-000272,2,"Finn, Stormtrooper Armor",4
fig-000273,0,Soccer Player Coca-Cola Goalie,4
fig-000274,15,"Timmy - Blue Legs, Red Cap",4
fig-000275,17,"Olivia - Magenta Top, Bright Light Blue Skirt",4
fig-000276,0,"Harry Potter, Black Tuxedo",4
fig-000277,14,Pepper Roni,4
fig-000278,1,BR Anniversary Minifigure,4
fig-000279,2,The Collector,5
fig-000280,8,"Pirate - Shirt with Knife, Blue Legs, Black Bicorne",4
fig-000281,23,"Rebel Trooper / Rebel Fleet Trooper, White Pupils, Smile",5
fig-000282,7,Jay NRG,4
fig-000283,5,"Racer, Yellow and White Outfit with Tiger, Black Helmet with Visor, Yellow Life Vest",6
fig-000284,13,"Fireman, Orange Safety Vest with Radio, White Helmet with Visor, Stubble",5
fig-000285,14,"Man, Blue Shirt, Blue Legs, Red Hard Hat",4
fig-000286,6,Lieutenant Maverick,5
fig-000287,5,"Snowboarder, Black Jacket, Black Hat, Neck Bracket",5
fig-000288,5,"Man, Plain Red, Helmet with Visor, Yellow Life Vest",6
fig-000289,11,"Man, Plain Red Torso, Black Legs, Blue Hat",4
fig-000290,15,Robber with Tattered Green Vest,4
fig-000291,29,Tonto,5
fig-000292,16,"Ninja, Black",4
fig-000293,7,"Racer, White Shirt with Shell Logo, Red Legs, Red Helmet with Visor",5
fig-000294,7,"Soccer Player Goalie Blue Torso with Silver print, Black Legs, Blue Cap",4
fig-000295,5,"Man - White Torso, Black Legs, Black Spiky Hair",4
fig-000296,13,"Fireman, Black Fire Jacket with Reflective Stripes, Radio, and Badge, Dark Bluish Gray Hands, White Helmet, Cheek Lines",4
fig-000297,11,"Pirate - Red/Black Stripes, Blue Legs, Blue Bandana",4
fig-000298,0,"Luke Skywalker, Printed Medal, White Pupils",4
fig-000299,0,"Luke Skywalker, Printed Medal, Black Eyes",4
fig-000300,7,"Knight (Breastplate on Red) - Blue Legs, Dark Gray Neck-Protector, Plastic Cape",5
fig-000301,1,Grip - Light Gray Legs,4
fig-000302,22,"Andrea - Bright Light Orange Top, Light Aqua Skirt, Magenta Party Hat",5
fig-000303,27,"Clone Trooper, Phase I Armor, Brown Eyes",4
fig-000304,6,"Man, White Vest with Truck, Red Legs, Red Cap",4
fig-000305,1,Shadow ARF Trooper,4
fig-000306,1,Assistant - Female,4
fig-000307,11,"Knight (Knights Kingdom I) - Bull Robber, Black Chin-Guard",4
fig-000308,9,"Man, Brown Jacket, Blue Legs, White Cap, Blue Sunglasses",4
fig-000309,1,Actor 1,4
fig-000310,8,"Man - White Torso, Black Legs Brown Hair",4
fig-000311,27,Leonidas,4
fig-000312,2,"Stormtrooper, Chrome Silver Armor",4
fig-000313,7,"Worker, Blue Shirt with Orange Stripes and Pockets, Lime Cap",4
fig-000314,7,"Man, Black Torso, White Legs, Blue Cap, Backpack, Sunglasses",5
fig-000315,0,"Soccer Player, Dutch Team",4
fig-000316,1,"Boba Fett, White Armor, Plain Black Head",4
fig-000317,31,"Lillie - Christmas Sweater, Red Skirt",4
fig-000318,7,Quicky the Nesquik Bunny,4
fig-000319,1,"Man - Blue Torso, White Legs, Black Hair",4
fig-000320,0,Soccer Player Coca-Cola Defender 4,4
fig-000321,5,"Soccer Referee / Linesmen, Green Torso, Black Legs",4
fig-000322,7,Cole NRG,4
fig-000323,0,"Captain Jack Sparrow, Voodoo",4
fig-000324,0,"Chase McCain, Dark Bluish Gray Vest with Radio, Badge and Pouches over Medium Blue Shirt, Black Legs",4
fig-000325,9,Baron Von Barron (Pilot),6
fig-000326,9,"Soccer Player White Torso, Blue Legs, Brown Hair, Standard Face",4
fig-000327,24,Lord Sam Sinister with Dark Gray Pants,4
fig-000328,0,Brickster with Dark Gray Hat,4
fig-000329,3,"Shogun, Armor and Helmet with Horn",6
fig-000330,7,"Lobot, Yellow Skin",3
fig-000331,19,Bumblebee,5
fig-000332,21,"Boba Fett, Child, Dark Azure Outfit",4
fig-000333,9,Archer (Knights Kingdom I) - Plate on Legs,5
fig-000334,16,"Ed, Black Fire Suit with Gauge and Straps, White Helmet, Breathing Apparatus, Airtanks, Goatee Beard",7
fig-000335,6,"Man, Brown Jacket, Blue Legs, Blue Cap, Blue Sunglasses",4
fig-000336,29,Crug,4
fig-000337,14,Dr. Peter Venkman (Dimensions),5
fig-000338,21,"Jango Fett, Santa Outfit",5
fig-000339,15,Bat Lord (Fright Knights) - no Cape,4
fig-000340,9,Arctic Scout,5
fig-000341,9,"Classic Spaceman, Yellow with Airtanks (3842b Helmet)",5
fig-000342,14,"Fireman, Plain Black, Black Helmet",4
fig-000343,10,"Man, White and Blue Hoodie, Green Legs, Dark Brown Hair",4
fig-000344,13,"Man, Blue Shirt with Buttons and Pockets, Blue Legs, Brown Hair",4
fig-000345,12,"Man, Blue Jacket with Highway Logo, Blue Legs, Red Cap",4
fig-000346,15,"Fireman, Black Fire Jacket with Reflective Stripes, Radio, and Badge, Red Legs, Silver Helmet",4
fig-000347,12,Laval,6
fig-000348,6,"Man, White and Blue Striped Shirt, Blue Legs, Blue Cap",4
fig-000349,14,"Knight (Royal Knights) - Black Legs, Dark Gray Neck-Protector",4
fig-000350,23,"Anna - Black Vest, Yellowish Green Dress, Dark Turquoise Cape",5
fig-000351,8,"Man, Blue Jacket with Zipper, Black Legs, White Helmet with Visor",5
fig-000352,9,"Man, White Torso with Shell Logo, Blue Legs, Red Hat",4
fig-000353,8,"Racer, Blue Jacket with Octan Logo, Blue Legs, White Helmet with Visor",5
fig-000354,6,"Man, Plain Red, Black Helmet with Visor",5
fig-000355,11,Sykor,4
fig-000356,5,Aquashark Hybrid,6
fig-000357,10,Docs,5
