fig_num,num_distinct_colors,fig_name,num_parts
fig-001781,12,"Astronaut, White and Dark Blue Spacesuit, Dark Azure Helmet, Earpiece",5
fig-001782,21,Olivia - Dark Azure/White Race Suit,5
fig-001783,15,"Darth Vader, Light Nougat Skin",6
fig-001784,33,"Belle, Bright Light Orange and Bright Light Yellow Full Dress",4
fig-001785,0,Edna Mode,4
fig-001786,18,"Rapunzel - Dark Purple Top, Medium Lavender Dress, 2 Bright Pink Flowers in Hair",6
fig-001787,10,"Arctic Explorer, Beanie Hat, Printed Goggles",4
fig-001788,20,"Arctic Explorer, Ushanka Hat, Orange Sunglasses",4
fig-001789,9,Cole (Hunted),5
fig-001790,9,Jay (Hunted),5
fig-001791,9,Kai (Hunted),5
fig-001792,7,"Racer Ray, White and Green Jumpsuit with Large 'Octan', Red Helmet with Visor",5
fig-001793,5,Sawyer,5
fig-001794,1,Gorm,3
fig-001795,9,Master Wu / Golden Dragon Master (Hunted),5
fig-001796,9,Zane (Hunted),5
fig-001797,6,Stone Giant with Neck Bracket,5
fig-001798,20,"Ariel - Mermaid Form, Pink Top, Gold Print on Tail",5
fig-001799,19,"Arctic Explorer, Beanie Hat, Printed Goggles",4
fig-001800,7,Kessel Mine Worker,3
fig-001801,5,"Han Solo, Mudtrooper Outfit, Dark Tan",4
fig-001802,28,Olivia - Dark Azure/White Race Suit,4
fig-001803,18,"Batman, Black Suit, Black Cape, Pearl Titanium Cowl (Armor)",5
fig-001804,48,"Batman, Black Suit, Black Cape and Cowl, Utility Belt (3626cpr9998 Head)",6
fig-001805,42,Harley Quinn,4
fig-001806,32,"Astronaut, White and Dark Azure Spacesuit, Dark Azure Backpack and Helmet",6
fig-001807,4,Aaron Fox with Hair and Shoulder Armor,5
fig-001808,5,Lloyd in Black Training Gi,4
fig-001809,1,Scooter,6
fig-001810,33,"Finn, Black Undershirt",4
fig-001811,2,"Lloyd, Kendo Outfit no Mask",5
fig-001812,1,Party Banana Guy,4
fig-001813,1,Penguin Suit Girl,4
fig-001814,2,"Birthday Boy - White Torso, Red Legs, Reddish Brown Hair",4
fig-001815,12,"Aquaman, Short Bright Light Yellow Hair",4
fig-001816,13,The Wasp (Hope van Dyne) with Trans-Medium Blue Wings,5
fig-001817,17,Imperial Combat Driver,4
fig-001818,35,"Harry Potter, Gryffindor Sweater, Short Legs",4
fig-001819,0,Lex Luthor in Superman Armor,4
fig-001820,0,Green Lantern Jessica Cruz,4
fig-001821,3,"Harry Potter, Long Open Gryffindor Robe (CMF)",4
fig-001822,3,"Hermione Granger, Gryffindor Robe with Crest (CMF)",4
fig-001823,3,"Ron Weasley, Open Gryffindor Robe with Crest (CMF)",4
fig-001824,4,"Draco Malfoy, Dark Green Slytherin Quidditch Uniform (CMF)",5
fig-001825,4,"Luna Lovegood, Dark Pink Jacket, Cloth Skirt",5
fig-001826,5,"Neville Longbottom, Tan Shirt, Headphones, Medium Legs (CMF)",4
fig-001827,3,Cho Chang (CMF),5
fig-001828,4,Dean Thomas (CMF),4
fig-001829,3,"Voldemort, Dark Green Robe, Nougat Eyes (CMF)",3
fig-001830,2,"Dobby, Tan Vest (CMF)",3
fig-001831,3,"Professor Sybill Trelawney, Sand Green Robe (CMF)",4
fig-001832,3,"Cedric Diggory, Black and Yellow Tournament Uniform (CMF)",4
fig-001833,3,"Professor Filius Flitwick, Black Suit, Bow Tie (CMF)",6
fig-001834,4,"Alastor Mad-Eye Moody, Odd Legs, Dark Tan Coat (CMF)",4
fig-001835,2,"Harry Potter, Invisibility Cloak (CMF)",5
fig-001836,3,"Albus Dumbledore, Bright Light Blue Robes (CMF)",5
fig-001837,4,"Newt Scamander, Long Dark Blue Coat (CMF)",4
fig-001838,4,"Tina Goldstein, Long Sand Blue Coat (CMF)",4
fig-001839,4,"Jacob Kowalski, Dark Bluish Gray Suit (CMF)",4
fig-001840,2,"Queenie Goldstein, Dark Blue Outfit (CMF)",4
fig-001841,2,Credence Barebone (CMF),4
fig-001842,2,Percival Graves (CMF),5
fig-001843,19,"Obi-Wan Kenobi, Tan Printed Legs, Headset",4
fig-001844,7,The Joker with Long Coattails,5
fig-001845,0,"Lloyd (The Final Battle), Katana Holder",5
fig-001846,40,Owen Grady,4
fig-001847,12,"Policeman, Sand Blue Jacket with Pockets and 'POLICE' on Back, Dark Blue Dirt Bike Helmet with Goggles",5
fig-001848,3,"Mia - Medium Azure Top, Dark Purple Skirt",4
fig-001849,1,Macy Halbert with Trans-Neon Orange Armor,7
fig-001850,3,Fred,5
fig-001851,3,Lance Richmond with Hair and Shoulder Armor,5
fig-001852,2,Nya in Black Training Gi,4
fig-001853,1,Buffer,6
fig-001854,3,Cole (Sons of Garmadon),5
fig-001855,6,Jet Jack with Tattered Torso,4
fig-001856,6,Talon with Neck Bracket,5
fig-001857,21,"U-3PO, Silver Protocol Droid",3
fig-001858,2,Jay (Rebooted),6
fig-001859,2,"Batman, Dark Bluish Gray Suit, Dark Blue Cape and Cowl (Pirate)",5
fig-001860,1,Samurai X (P.I.X.A.L),7
fig-001861,4,Kai (Possession),5
fig-001862,8,Cole with Black Hair and Shoulder Armor,5
fig-001863,6,Cole (Tournament of Elements) with Scabbard,6
fig-001864,2,Cole in Training Gi,4
fig-001865,20,Kai (Rebooted),5
fig-001866,4,Mini Gargoyle,9
fig-001867,1,Jay with Shoulder Armor (Skybound),5
fig-001868,21,Wilhurt,4
fig-001869,25,"Policeman Captain Ember, Bright Light Blue Shirt with Radio and Badge, Dark Blue Legs, Police Hat with Badge, Beard",4
fig-001870,17,The Flash,4
fig-001871,15,Astronaut with Blue Cap,4
fig-001872,0,Superman with Red Eyes on Dual Sided Head,5
fig-001873,20,"Construction Worker, Dark Blue Shirt with Harness, Red Hard Hat, Sweat Drops",4
fig-001874,4,Worker with Orange Stripes and Blue Cap,4
fig-001875,22,Master Wu in White Robes (The Golden Weapons),5
fig-001876,2,"Diver, Man, Black and Gray Wetsuit, Helmet with Mask, Breathing Apparatus, Airtank",6
fig-001877,32,"Astronaut, White Spacesuit, Bright Green Backpack, Dark Green Helmet, Eyepiece",6
fig-001878,17,"Pilot, Black Torso, Black Legs, Black Hat",4
fig-001879,3,"Boy, White and Blue Hoodie, Short Light Bluish Gray Legs, Light Bluish Gray Helmet",4
fig-001880,14,"Pilot, Yellow Torso, Black Legs, Red Helmet",5
fig-001881,32,"Astronaut, White Spacesuit, Bright Light Orange Armor and Helmet",6
fig-001882,16,"Paramedic, Red Uniform, Dark Orange Hair",4
fig-001883,12,"Criminal, Open Light Bluish Gray Jacket over Prison Shirt, Light Bluish Gray Legs, Black Hat, Missing Tooth",4
fig-001884,32,"Astronaut, White Spacesuit, Bright Green Backpack and Helmet, Glasses",6
fig-001885,28,"Forest Police / Ranger, Dark Tan Shirt with Radio and Badge, Dark Blue Legs, Tan Campaign Hat, Sunglasses",4
fig-001886,1,Robot Police,4
fig-001887,1,"Rebel Trooper in Hoth Uniform, White Hat, White Jacket, Moustache",6
fig-001888,32,"Astronaut, White Spacesuit, Bright Light Orange Armor, Dark Orange Helmet, Beard and Lightning Scar",6
fig-001889,26,"Death Star Trooper, Brown Eyebrows",4
fig-001890,23,"Mountain Police Chief, Dark Blue Shirt with Radio and Badge, Campaign Hat, Moustache",4
fig-001891,3,"Santa, Plain Red with Backpack",6
fig-001892,20,"Kordi, Dark Green Legs",4
fig-001893,2,Beach Party Dude,5
fig-001894,9,"Construction Worker, Orange Overalls over Blue Sweater, Blue Cap, Dark Tan Beard",4
fig-001895,24,"White Torso, Classic Space Figure, White Legs, Black Hair",4
fig-001896,3,Dragon Hunter,5
fig-001897,3,Kai with Plain Head Wrap (Sons of Garmadon),6
fig-001898,0,"Batman, Yellow Lantern Outfit",5
fig-001899,40,Cinderella - Bright Light Blue/Medium Blue Dress,4
fig-001900,21,"Sweet Mayhem - Wings, Helmet, Smile",7
fig-001901,2,Zombie Skater,4
fig-001902,1,Master Wu in Gold Trimmed Outfit,5
fig-001903,4,Clay Moorington Turning to Stone,4
fig-001904,0,Merlok,6
fig-001905,1,The Penguin in Prison Clothes,5
fig-001906,14,Zane (Rebooted),5
fig-001907,26,Jayko Geometric Pattern (Knights Kingdom II),6
fig-001908,44,"Emmet, Worn Outfit, Happy / Scared",4
fig-001909,24,"Sweet Mayhem - Wings, Helmet, Angry",7
fig-001910,14,Lucy Wyldstyle,4
fig-001911,28,"Sweet Mayhem - No Wings, Hair, Crooked Smile",4
fig-001912,16,"Darth Maul, Horns, Printed Legs",4
fig-001913,19,"Anakin Skywalker, Child, Reddish Brown Helmet",5
fig-001914,14,"Mia - Lime/Azure Top, Dark Purple Skirt",5
fig-001915,13,"Emma - White Jacket, Dark Purple Skirt",4
fig-001916,18,"Mia - Blue Plaid Shirt, Dark Blue Trousers",4
fig-001917,23,"Mia - Dark Purple Top, Olive Green Skirt, Lavender Helmet",4
fig-001918,22,"Stephanie - Medium Blue Jersey, Dark Blue Skirt",4
fig-001919,17,"Olivia - Dark Pink Top, Dark Pink Skirt",4
fig-001920,12,"Race Driver, White Torso, White Legs, Red Helmet, Ferrari",5
fig-001921,32,"Astronaut, White and Dark Azure Spacesuit, Dark Azure Backpack and Helmet, Glasses",6
fig-001922,10,"Lightning McQueen, Juniors, Large Rust-eze Logo",16
fig-001923,17,"Ariel - Human Form, Light Aqua Dress",4
fig-001924,19,"Policeman, Bright Light Blue Shirt with Dark Blue Tie, Badge, and Radio on Belt, Dark Blue Cap, Sunglasses",4
fig-001925,14,"Man, Light Bluish Gray Hoodie over Dark Red Shirt, Dark Tan Legs, Dark Blue Cap, Orange Life Vest",5
fig-001926,44,Kai (Legacy),4
fig-001927,41,Jay (Legacy),4
fig-001928,37,Zane (Legacy),4
fig-001929,37,Cole (Legacy),4
fig-001930,25,Samurai X (P.I.X.A.L) (Sons of Garmadon / Hunted),7
fig-001931,14,"LEGO Store Employee, LEGO Logo on Back, Medium Nougat Hair",4
fig-001932,2,Black VIP with Millennium Falcon on Torso,3
fig-001933,16,"Pilot - Dark Orange Torso, Dark Orange Legs, White Helmet",5
fig-001934,13,"Construction Worker, Orange Safety Vest with Zipper over Reddish Brown Shirt, Sand Blue Legs, Red Hard Hat with Ear Defenders, Stubble",4
fig-001935,2,I Brick Orlando Man,4
fig-001936,2,I Brick NY Man,4
fig-001937,39,"Emmet, Worn Outfit, Happy / Frustrated",4
fig-001938,23,Bobby Brenner,4
fig-001939,45,"Luke Skywalker, White Robe, White Legs, No Cheek Lines",4
fig-001940,25,"Snowtrooper, Light Bluish Gray Hips, Neck Bracket with Printed 1 x 1 Tile and 1 x 1 Plate with Clip Light, Kama",8
fig-001941,3,Macy Halbert with Dark Red Hair,4
fig-001942,3,Nexo Knight Soldier with Pearl Gold Armor,6
fig-001943,4,Clay Moorington with Hair and Armor,5
fig-001944,26,Teen Wu / Master Wu (Dragon Hunter Disguise),4
fig-001945,8,"Emmet, Worn Outfit, Happy / Sad",4
fig-001946,11,Rex Dangervest,4
fig-001947,38,Lucy Wyldstyle,6
fig-001948,3,VanByter,4
fig-001949,1,LEGO Store Employee (100 Stores),4
fig-001950,10,Nya (Sons of Garmadon),5
fig-001951,8,"Man, Red Flannel Shirt, Dark Tan Legs, Red Cap",4
fig-001952,11,"Racer, Woman, White and Orange Jumpsuit with 'VITA RUSH', White Helmet with Visor, Orange Life Vest",6
fig-001953,41,Spider-Man,3
fig-001954,10,"Emma - Medium Lavender Dotted Top, Dark Purple Skirt",4
fig-001955,5,"White Torso, Blue Legs, Long Reddish Brown Hair",4
fig-001956,28,"Astronaut, White and Dark Blue Spacesuit, Dark Azure Backpack, Dark Blue Helmet",6
fig-001957,2,"Emmet, Worn Outfit, Headphones",4
fig-001958,2,Lucy with Hood (CMF),5
fig-001959,2,Swamp Creature (CMF),4
fig-001960,1,Crayon Girl (CMF),4
fig-001961,2,Giraffe Guy (CMF),4
fig-001962,2,Watermelon Dude (CMF),4
fig-001963,2,"Sherry Scratchen-Post, Apocalypse (CMF)",4
fig-001964,3,Apocalypse Benny (CMF),6
fig-001965,2,Vest Friend Rex (CMF),4
fig-001966,2,Dorothy Gale (CMF),5
fig-001967,2,Cowardly Lion (CMF),5
fig-001968,3,Tin Man (CMF),5
fig-001969,1,Scarecrow (CMF),4
fig-001970,2,President Business in Golf Outfit (CMF),4
fig-001971,3,Lucy in Popstar Outfit (CMF),4
fig-001972,3,Candy Rapper (CMF),5
fig-001973,2,Kitty Pop (CMF),5
fig-001974,3,Apocalypseburg Abe (CMF),4
fig-001975,3,Hula Lula (CMF),5
fig-001976,1,Wonder Woman in Full Body Armor,4
fig-001977,1,Cole with Stone Armor (Rebooted),6
fig-001978,8,"Policeman Tony Maverick, Dark Bluish Gray Vest with Radio and Badge over Dark Blue Shirt, White Helmet with Visor, Sunglasses",5
fig-001979,3,Jay (Hunted),5
fig-001980,15,"Batman, Light Bluish Gray Suit, Black Cape and Cowl, Black Head",5
fig-001981,8,"Sweet Mayhem - No Wings, Hair",4
fig-001982,4,"Fireman, Black Fire Suit with Gauge and Straps, Red Helmet, Breathing Apparatus, Airtanks, Stubble and Scar",7
fig-001983,23,"Sweet Mayhem - Wings, Helmet",7
fig-001984,28,Celeste,4
fig-001985,5,Cyren,4
fig-001986,35,"Woody, Happy",4
fig-001987,3,Heavy Metal / Faith,5
fig-001988,13,Chicken,4
fig-001989,5,"Man, Blue Overalls over White V-Neck Shirt, Dark Red Cap, Beard",4
fig-001990,3,"Rex Dangervest, Neck Bracket",5
fig-001991,17,Robin with Red Eyemask (Jason Todd),5
fig-001992,30,Iron Baron,5
fig-001993,2,"Mickey Mouse, Classic Black and White, Black Boots (CMF)",4
fig-001994,2,"Minnie Mouse, Black and White (CMF)",5
fig-001995,3,Scrooge McDuck (CMF),5
fig-001996,3,Huey (CMF),5
fig-001997,2,Dewey (CMF),5
fig-001998,3,Louie (CMF),5
fig-001999,3,Chip (CMF),3
fig-002000,2,Dale (CMF),3
fig-002001,2,Jasmine (CMF),4
fig-002002,2,Jafar (CMF),6
fig-002003,2,Anna (CMF),5
fig-002004,2,Elsa (CMF),5
fig-002005,3,Jack Skellington (CMF),5
fig-002006,1,Sally (CMF),4
fig-002007,2,Edna Mode (CMF),4
fig-002008,4,Frozone (CMF),3
fig-002009,3,Hercules (CMF),5
fig-002010,2,Hades (CMF),3
fig-002011,9,"Iron Man, White Advanced Tech (Quantum) Suit with Neck Bracket",6
fig-002012,21,"Tony Stark Transforming into Iron Man, Black Torso",4
fig-002013,17,"Kid, White Torso, Dark Azure Legs, Reddish Brown Hair",4
fig-002014,22,"Aquaman, Short Yellow Hair (3626b Head)",4
fig-002015,21,The Penguin,5
fig-002016,1,ATOM,4
fig-002017,0,Vixen,4
fig-002018,0,Plastic Man,4
fig-002019,0,"Harry Potter, Long Robes, Dark Red Shirt",4
fig-002020,0,Bilbo Baggins - Patch Work,4
fig-002021,5,"Policeman, Dark Bluish Gray Vest with Radio and Badge over Dark Blue Shirt, White Helmet with Visor, Neck Bracket",6
fig-002022,32,"Astronaut, White Spacesuit, Bright Light Orange Armor and Helmet",6
fig-002023,10,Lloyd FS in Spinjitzu Slam Outfit,4
fig-002024,11,Jay FS in Spinjitzu Slam Outfit,4
fig-002025,8,"Overalls Blue with Pocket, Witch Hat",4
fig-002026,23,"Astronaut - White Torso and Legs, Orange Trim, Smirk, Black Eyebrows",5
fig-002027,1,"Police - Dark Blue Torso, Dark Tan Legs, Dark Blue Cap",4
fig-002028,34,"Astronaut, White Spacesuit, Bright Green Backpack and Helmet",6
fig-002029,14,"Mia - Dark Purple Top, Dark Purple Skirt",4
fig-002030,14,"Olivia - Magenta Top, Dark Pink Skirt",4
fig-002031,43,"Stephanie - Medium Blue Top, Medium Azure Skirt",4
fig-002032,13,"Emma - Dark Blue Top, Light Aqua Trousers",5
fig-002033,15,"Andrea - Dark Turquoise Bikini, Dark Turquoise Skirt",4
fig-002034,9,Charge with Trans-Dark Blue Diving Mask,5
fig-002035,21,Captain Jack Sparrow,4
fig-002036,17,Captain Jack Sparrow with Open Jacket,4
fig-002037,15,Cavalry General,4
fig-002038,6,"Policeman, Black Jacket with Pocket and Badge, Black Cap, Silver Sunglasses Print",4
fig-002039,2,Lloyd with Plain Head Wrap (Hunted),5
fig-002040,17,"Astronaut, White Spacesuit, Bright Light Orange Armor and Helmet, Goatee",6
fig-002041,0,"Finn, Bacta Suit",4
fig-002042,2,"White Torso, Blue Overall, Red Cap",4
fig-002043,21,"Firewoman, Bright Light Orange Fire Suit, White Helmet with Visor, Light Blue Sunglasses",5
fig-002044,0,Shazam,5
fig-002045,36,"Bespin Guard, White Pupils",4
fig-002046,18,Superman,5
fig-002047,27,"Count Dooku, Light Bluish Gray Hair",5
fig-002048,19,"Obi-Wan Kenobi, White Legs (Clone Wars)",4
fig-002049,11,"Mia - Medium Azure Top, Lime Trousers, Lavender Cap, Life Vest",5
fig-002050,2,Nya with Plain Head Wrap (Hunted),5
fig-002051,1,"Fireman, Black Fire Jacket with Reflective Stripes, Radio, and Badge, White Helmet",4
fig-002052,8,"White Torso with Flowers, Orange Leg, Dark Brown Ponytail",4
fig-002053,6,"Darth Maul, Black Hood and Cape, Pouch on Belt",5
fig-002054,3,"LEGO House - Chef, Female, Black Legs",4
fig-002055,11,"Batman, Black Suit, Black Cape and Cowl, Yellow Batman Logo (39444 Cape)",5
fig-002056,13,"Reddish Brown jacket, Porsche Sweater, Black Legs",6
fig-002057,36,"Rey, Dark Tan Robe",4
fig-002058,22,"Dr. Henry Wu, Dark Azure Hands",4
fig-002059,3,Blizzard Samurai,4
fig-002060,41,"Hermione Granger, Gryffindor Sweater, Short Legs",4
fig-002061,7,"Diver, Man, Black and Lime Wetsuit, Blue Helmet and Mask",6
fig-002062,32,Santa with Glasses,5
fig-002063,21,"Man - White Torso, classic Space Logo, Blue Legs, Red Cap",4
fig-002064,31,"Mia - Christmas Sweater, Dark Blue Trousers",4
fig-002065,21,"Sweet Mayhem - Wings, Hair, Happy",7
fig-002066,3,"Obi-Wan Kenobi, Old, Yellow Skin, Light Bluish Gray Hair (3626c Head) (20th Anniversary)",4
fig-002067,0,"Bilbo Baggins, Blue Coat",4
fig-002068,3,Cole in Sons of Garmadon Robe (Legacy),4
fig-002069,3,Mountain Biker,4
fig-002070,2,Video Game Champ (CMF),4
fig-002071,3,Shower Guy,5
fig-002072,3,Fright Knight,6
fig-002073,3,Monkey King (CMF),8
fig-002074,3,Programmer (CMF),4
fig-002075,2,Mummy Queen (CMF),4
fig-002076,2,Jungle Explorer,5
fig-002077,2,Fire Fighter (CMF),4
fig-002078,4,Dog Sitter,4
fig-002079,2,Pizza Costume Guy (CMF),4
fig-002080,2,Galactic Bounty Hunter,5
fig-002081,2,Gardener,4
fig-002082,2,Rugby Player (CMF),4
fig-002083,3,Fox Costume Girl,5
fig-002084,3,Bear Costume Guy (CMF),4
fig-002085,45,Master Wu with Gold Lettering on Robes,5
fig-002086,29,"Yoda, Olive Green Head, Dark Tan Undershirt, Thick Creases",3
fig-002087,3,"White Torso, Blue Overall, Red Helmet",4
fig-002088,3,Pyro Whipper,3
fig-002089,27,"Stormtrooper, First Order - Pointed Mouth",4
fig-002090,26,"Police Officer, Vibrant Yellow Police Vest, Orange Life Jacket, Nougat Hair",5
fig-002091,35,"Anna - Black Dress, Cape",5
fig-002092,26,"Crook, Black Jacket, Orange Legs, Black Bandana, Dark Bluish Gray Hat",5
fig-002093,28,"Elsa - Medium Blue Skirt, Glitter Cape",5
fig-002094,17,The Joker,4
fig-002095,4,"Man, Light Bluish Gray Hoodie over Dark Red Shirt, Dark Blue Legs, Black Helmet with Visor",5
fig-002096,37,"Jack Davids, Red Jacket with White Hood and Red Cap",4
fig-002097,16,Kai in Sons of Garmadon Outfit (Legacy),4
fig-002098,35,Elsa - Lavender Dress,4
fig-002099,20,Space Police III,5
fig-002100,9,"Policewoman Sam Solo, Bright Light Blue Shirt with Radio and Badge, Dark Blue Legs, Dark Blue Cap with Hair, Sunglasses",4
fig-002101,3,Blizzard Samurai with Shoulder Armor,5
fig-002102,23,"Astronaut - Orange Torso and Legs, White Helmet, Trans-Light Blue Visor, Beard",6
fig-002103,16,Clemmons,4
fig-002104,8,"Kylo Ren, Helmet with Red Cracks",4
fig-002106,25,"Mia - Dark Purple Top, Lime Trousers",5
fig-002107,11,"Race Driver, Audi, White Torso, White Legs, Reddish Brown Hair",4
fig-002108,13,"Race Driver, Dark Red Torso, Dark Blue Legs, Black Helmet",5
fig-002109,15,"Andrea - Dark Turquoise Jacket, Dark Blue Skirt",4
fig-002110,21,"Stephanie - Magenta Top, Medium Azure Skirt, Chef's Hat",4
fig-002111,18,"Olivia - Bright Light Yellow Top, Bright Light Yellow Skirt",4
fig-002112,18,"Emma - Light Aqua Top, Light Aqua Skirt",4
fig-002113,36,"Moana - Red/Pink Shirt, Tan Skirt",4
fig-002114,2,Aurora - Dark Pink Gown,4
fig-002115,13,"Postal Worker, Red Jacket with Winged Letter Logo, Black Legs, Dark Red Hat, Sunglasses",4
fig-002116,15,Zorii Bliss,4
fig-002117,14,"Construction Worker, Safety Jacket over Hoodie with Belt, Orange Legs, Dark Blue Cap",4
fig-002118,50,Steve,3
fig-002119,9,"Policeman, Black Vest with Badge and Pouches over Bright Light Blue Shirt, White Helmet with Visor",5
fig-002120,10,"Fireman, Bright Light Orange Fire Suit, White Helmet with Visor, Orange Life Vest",6
fig-002121,8,"Surfer, White Tank Top with Windsurfer, Sand Blue Legs",4
fig-002122,11,"Race Driver, White Torso, White Legs, Red Helmet, Nissan",4
fig-002123,3,Zane in Sons of Garmadon Outfit (Legacy),4
fig-002124,0,"Plain Black, 'BRICK FRIDAY 2019'",3
fig-002125,11,"Surfer, Red Legs",4
fig-002126,28,"Parker L. Jackson, Black Top, Bright Light Yellow Beanie Hat, Medium Lavender Hair",4
fig-002127,4,Star Girl (CMF),4
fig-002128,24,Mulan - Dark Blue Dress,4
fig-002129,3,Metamorpho (CMF),3
fig-002130,18,"Doctor, Woman, White Shirt with Pocket and Stethoscope, Medium Blue Legs, Dark Brown Hair, Glasses",4
fig-002131,33,"Professor Severus Snape, Long Robes over Dark Purple Vest (Shirt Tails Print)",4
fig-002132,5,"Lumberjack, Orange Safety Vest with Zipper over Reddish Brown Shirt, Sand Blue Legs, Red Hard Hat, Orange Safety Glasses",4
fig-002133,21,"Blue Torso, Dark Blue Legs, Blue Cap",4
fig-002134,29,Owen Grady with Clawed Shirt,4
fig-002135,1,Teen Wu in White Training Gi,4
fig-002136,19,"Voldemort, Black Robe",3
fig-002137,21,"Policeman, Black Vest with Badge and Pouches over Bright Light Blue Shirt, Dark Blue Legs, White Helmet with Visor",5
fig-002138,3,"Douglas Elton / El Fuego, Green Outfit with Red Helmet",4
fig-002139,12,"Easter Bunny, Woman, Dark Pink Bow Tie",4
fig-002140,14,Kai FS in Spinjitzu Slam Outfit,4
fig-002141,5,Mr. Freeze with Pearl Dark Gray Outfit and Neck Bracket with 4 Bars,5
fig-002142,22,"Andrea - Medium Blue Jacket, Magenta Skirt",4
fig-002143,22,"Stephanie - White Top, Dark Blue Skirt",4
fig-002144,41,"Olivia - Sand Blue Jacket, Dark Pink Skirt",4
fig-002145,16,"Mia - Orange Top, Olive Green Skirt, 3D Glasses",4
fig-002146,38,"Emma - Dark Pink Top, Light Aqua Skirt",4
fig-002147,9,"Blue Torso, Blue Legs, Red Hat",4
fig-002148,28,"Hermione Granger, Bright Pink Hoodie over Dark Pink Shirt with Time Turner, Medium Legs",4
fig-002149,20,"Poe Dameron, Dark Orange Pilot Outfit, Hair",4
fig-002150,44,"J.B. Watt, Lab Coat, Medium Lavender Hair with Goggles",4
fig-002151,24,Ice Emperor (Zane),5
fig-002152,28,Jay in Rebooted Outfit (Legacy) - MANTER Torso,5
fig-002153,38,Duke DeTain,4
fig-002154,35,"Woman, Shirt with White and Dark Turquoise Stripes, White Legs, Medium Nougat Hair",4
fig-002155,28,Cole (Secrets of the Forbidden Spinjitzu),5
fig-002156,34,"Emmet, Piece of Resistance, Eyebrows, Happy / Scared",6
fig-002157,19,Bad Cop / Good Cop with Wide Angry Mouth and Clenched Teeth,4
fig-002158,17,"Emmet, Robot Disguise",6
fig-002159,17,Wyldstyle in blue jumpsuit,5
fig-002160,17,Robot pilot,5
fig-002161,44,Wyldstyle in black jumpsuit,5
fig-002162,24,Executron,4
fig-002163,20,Executive Ellen,4
fig-002164,20,Rootbeer Belle,4
fig-002165,20,Sudds Backwash,4
fig-002166,20,Kebab Bob,4
fig-002167,15,Sheriff Not-a-robot,5
fig-002168,15,Deputron,4
fig-002169,19,Ice Cream Mike,4
fig-002170,19,Ice Cream Jo,4
fig-002171,19,Cardio Carrie,4
fig-002172,16,Sharon Shoehorn,4
fig-002173,16,Gallant Guard,4
fig-002174,16,Sir Stackabrick,5
fig-002175,16,Condiment King,5
fig-002176,16,Egghead,5
fig-002177,38,Vitruvius,6
fig-002178,25,Pa Cop,4
fig-002179,25,Ma Cop,4
fig-002180,21,Calendar Man,6
fig-002181,21,The Riddler with Dark Green Hat,4
fig-002182,21,Magpie,6
fig-002183,25,El Macho Wrestler,4
fig-002184,21,Kite Man,6
fig-002185,25,President/Lord Business with Extended Legs,9
fig-002186,11,Wyldstyle in black jumpsuit with hood,4
fig-002187,11,"Robot Police, Cap",4
fig-002188,15,OMAC,4
fig-002189,19,Frank the Foreman,4
fig-002190,33,Batwoman,5
fig-002191,24,Fabuland Girl,4
fig-002192,26,"Robot Police, Hat, Armor",5
fig-002193,24,Blaze Firefighter,4
fig-002194,24,Hank Haystack,4
fig-002195,24,Blacktron Fan,4
fig-002196,15,"Robot Police, Helmet, Armor",6
fig-002197,18,"Robot Police, Helmet with Night Vision Goggles, Armor",6
fig-002198,31,"Batman, Black Suit, Black Cape and Cowl, Yellow Batman Logo, White Headband (37157 Cape)",5
fig-002199,16,Dr. McScrubs,4
fig-002200,16,Plumber Joe,4
fig-002201,16,Alfie the Apprentice,4
fig-002202,25,"Arkham Asylum Guard, Black Hat",4
fig-002203,25,Harley Quinn in Prison Clothes,4
fig-002204,25,The Joker in Prison Clothes,4
fig-002205,18,Spider-Man,3
fig-002206,31,Vision with Yellow Cape,4
fig-002207,18,Hawkeye,4
fig-002208,18,"Hulk (Big Fig), Black Hair, Dark Purple Pants with Print",7
fig-002209,18,Gordon Zola,4
fig-002210,18,Garbage Man Grant,4
fig-002211,18,Garbage Man Dan,4
fig-002212,13,Captain Boomerang,4
fig-002213,19,The Joker's Henchman,4
fig-002214,26,"Batman, Light Bluish Gray Suit, Dark Blue Cape and 55704 Cowl",5
fig-002215,26,Harley Quinn in Jester Outfit,4
fig-002216,21,The Riddler with Light Bluish Gray Hat,4
fig-002217,31,"Emmet, Piece of Resistance, Happy / Scared",6
fig-002218,18,Griffin Turner,4
fig-002219,26,Sleven,4
fig-002220,18,Karlof,5
fig-002221,21,Kai in Jungle Robes,5
fig-002222,4,Ghost Ninja Wooo,4
fig-002223,4,Ghost Ninja Howla,4
fig-002224,18,Dr. Charles Lightning with Backpack,5
fig-002225,18,Miss Gail Storm,4
fig-002226,17,Miss Gail Storm with Red Legs,4
fig-002227,15,Alexis Sanister,4
fig-002228,15,Señor (Senor) Palomar with Backpack,5
fig-002229,63,"Skeleton, Standard Face, Ball Joint Arms (3626b Head)",6
fig-002230,12,Mr. Cunningham with Black Hips,4
fig-002231,4,M:Tron - Backpack,8
fig-002232,14,"Skeleton, Standard Face, Mummy Headdress, White",7
fig-002233,5,"Ice Planet - Red Hair, Female",6
fig-002234,11,"Skeleton, Standard Face, Mummy Headdress, Yellow",7
fig-002235,16,"Skeleton, Standard Face, Mummy Headdress, Blue and Gold Stripes",7
