fig_num,fig_name,num_parts,age_group_heuristic
fig-000095,"Pilot, Blue Jacket with Plane Logo and Blue Tie, Blue Hat, Goatee Beard",4,Unspecified
fig-000096,Dash,6,Unspecified
fig-000097,"Knight (Knights Kingdom I) - Cedric the Bull, Chrome Helmet, Horn",5,Unspecified
fig-000098,"Snowboarder, Bright Light Orange Jacket, Dark Red Legs",4,Unspecified
fig-000099,"Astronaut, White, Light Gray Hips, Helmet with Breastplate and Large Chrome Gold Visor, Headset",5,Unspecified
fig-000100,"Man, Blue Torso, Black Legs, Red Hard Hat",4,Adult-coded
fig-000101,"Man, Blue Overalls over Shirt, Red Hard Hat, Orange Vest, Orange Sunglasses",5,Adult-coded
fig-000102,"Space Port Ground Grew, White Jacket, Black Legs, White Hard Hat, Beard and Glasses",4,Unspecified
fig-000103,"Astronaut, White, Light Gray Hips, Helmet with Large Chrome Gold Visor, Headset",5,Unspecified
fig-000104,"Racer, Plain Black, White Helmet (3842b Helmet)",4,Unspecified
fig-000105,"Spaceman, Doc",5,Adult-coded
fig-000106,"Blacktron II - Jetpack, 3626a Head",8,Unspecified
fig-000107,"Blacktron II - Jetpack, 3626b Head",8,Unspecified
fig-000108,"Policeman, Black Jacket with Zipper, Radio, and Badge, White Hat, Sunglasses",4,Adult-coded
fig-000109,Cole (The Golden Weapons),4,Unspecified
fig-000110,Mermaid,4,Unspecified
fig-000111,Zane DX,4,Unspecified
fig-000112,LEGOLAND Red with Black hat,4,Unspecified
fig-000113,Ice Planet - White Hair,6,Unspecified
fig-000114,Spyrius,6,Unspecified
fig-000115,TC-4,3,Unspecified
fig-000116,"Arctic Crew, Black, White Cap",4,Unspecified
fig-000117,Sumo Wrestler (CMF),4,Unspecified
fig-000118,"Paramedic, Vibrant Yellow Safety Vest, Dark Turquoise Legs, Dark Orange Hair",4,Unspecified
fig-000119,"Spaceman, Assistant (23318 Visor)",5,Adult-coded
fig-000120,"Santa, Plain Yellow, Black Hips",5,Unspecified
fig-000121,"White Torso, Red Legs, Black Hair",4,Unspecified
fig-000122,Legolas Greenleaf,4,Unspecified
fig-000123,Snap Lockitt,4,Unspecified
fig-000124,"Chewbacca, Reddish Brown",3,Unspecified
fig-000125,Worriz in Fire Chi Outfit,4,Unspecified
fig-000126,"Racer, Yellow and White Outfit with Tiger, Black Diving Helmet with Visor",5,Unspecified
fig-000127,"Construction Worker, Blue Overalls, Red Hard Hat",4,Unspecified
fig-000128,"Man, White Vest with Truck, Blue Legs, Red Cap (3626a Head)",4,Adult-coded
fig-000129,Director,4,Unspecified
